SerialSeq,Serial,Surname,FirstName,MiddleInitMostly,Suffix,RankRole,Unit2011,UnitDesc,UnitMap,Unit2014,Unit2016,Unit2019,Name,Unit2020,MiddleName
2285,2285,Mcginnis,Arnold,,,Police Sergeant,B232S,South Pct 2Nd W Sam,,,,,,,
2768,2768,Skaar,Donald,R,,Police Officer,,Hr - Human Resources - Dept Unava,,,C020X,,,,
2768,2768,Skaar,Donald,R,,Police Officer,,Southwest Pct,3Rd W - Frank,B253F,,,,,
2768,2768,Skaar,Donald,R,,Police Officer,B253F,Southwest Pct 3Rd W, Frank,,,,,,
2810,2810,Carner,Myrle,L,,Crime Stoppers,,Community Outreach - Crime Stopp,,,,A311V,,,
2810,2810,Carner,Myrle,L,,Crime Stoppers,,Community Outreach -Crimestopp,,,B054,,,,
2810,2810,Carner,Myrle,L,,Crime Stoppers,,Crimestoppers,,C383,,,,,
2810,2810,Camer,Myrle,L,,Crime Stoppers,B054,Crimestoppers,,,,,,,
2810,2810,Carner,Myrle,L,,Crime Stoppers,,Community Outreach - Crime Stopper~,,,,,"Carner, Myrle L",A311V,L
2866,2866,Severance,Michael,G,,Police Officer,,Human Resources - Dept Unavail P,,C320X,,,,,
2866,2866,Severance,Michael,G,,Police Officer,B123U,North Pct 3Rd W, Union,,,,,,
2930,2930,Bailey,Harry,I,,nterim Chief Of Police,,Chief Of Police,,A000,,,,,
2954,2954,Low,Neil,E,,Police Captain,,Metropolitan Section,,,B620,,,,
2954,2954,Low,Neil,E,,Police Captain,,Duty Captain,,B102,,,,,
2954,2954,Low,Neil,E,,Police Captain,B100,Patrol Operations Bureau,,,,,,,
2974,2974,Hargraves,Michael,B,,Police Officer,,North Pct Ops - Cpt,,,B129C,,,,
2974,2974,Hargraves,Michael,B,,Police Officer,,North Pct,2Nd W - North Beats,,,B122A,,,
2974,2974,Hargraves,Michael,B,,Police Officer,,North Pct Ops - Cpt,,B129C,,,,,
2974,2974,Hargraves,Michael,B,,Police Officer,B121J,North Pct 1St W, John,,,,,,
2978,2978,Mcrae,Vernon,L,,"Equipment & Facilities Coordinator,",,Quartermaster Unit,,C502,,,,,
2978,2978,Mcrae,Vernon,L,,Equipment & Facilities Coordinator,C502,Quartermaster Unit,,,,,,,
2998,2998,Blair,Thomas,B,,Police Officer,13625A,Harbor, Squad A,,,,,,
3019,3019,Guynn,Kerry,G,,Police Lieutenant,,South Pct,2Nd W,B232,,,,,
3019,3019,Guynn,Kerry,G,,Police Lieutenant,B232,South Pct 2Nd W,,,,,,,
3050,3050,James,Harry,S,,Police Officer Detective,,Hr - Human Resources - Dept Unava,,,C020X,,,,
3050,3050,James,Harry,S,,Police Officer,,Street Vice Squad,,B751B,,,,,
3050,3050,James,Harry,S,,Police Officer Detective,B751A,Vice General Investigations Squad,,,,,,,
3108,3108,Nicholls,Philip,B,,Police Officer,C361X,Education & Training Unit, Unavai,,,,,,
3113,3113,Bernasconi,John,E,,Police Officer,B632B,Motorcycle Unit, T2 Squad,,,,,,
3125,3125,Depola,Andrew,T,,Police Officer,B632C,Motorcycle Unit, T3 Squad,,,,,,
3140,3140,Burke,Michael,S,,trategic Advisor I,,Hr - Background Investigations,,,C021B,,,,
3140,3140,Burke,Michael,S,,trategic Advisor I,,Background Investigations,,C321B,,,,,
3143,3143,James,Norman,D,,Police Lieutenant,B112,West Pet 2Nd W,,,,,,,
3159,3159,Katzer,Mark,E,,Police Officer,,Southwest Pct,3Rd W - Pct Suppor,,B253P,,,,
3159,3159,Katzer,Mark,E,,Police Officer,,Southwest Pct,3Rd W - Pct Suppor,B253P,,,,,
3159,3159,Katzer,Mark,E,,Police Officer,B253F,Southwest Pot 3Rd W, Frank,,,,,,
3170,3170,Mcnulty,Gary,J,,Police Officer,,Hr - Human Resources - Dept Unava,,,C020X,,,,
3170,3170,Mcnulty,Gary,J,,Police Officer,,North Pct,1St W - John,B121J,,,,,
3170,3170,Mcnulty,Gary,J,,Police Officer,B121X,North Pct 1St W, Unavail Personn,,,,,,
3199,3199,Birkland,Ila,G,,Admin Specialist Ii,,Violent Crimes Section - Administra,,B710Y,,,,,
3199,3199,Birkland,Ila,G,,Admin Specialist Ii,B710Y,Violent Crime Section, Administral,,,,,,
3260,3260,Mccoy,Dennis,L,,Police Sergeant,B121J,North Pct 1St W, John,,,,,,
3299,3299,Hill,Frederick,M,,Police Captain,C110,Audit Accreditation And Policy Sec,,,,,,,
3300,3300,Little,Robert,K,,Police Officer Detective,,Human Resources - Dept Unavail P,,C320X,,,,,
3300,3300,Little,Robert,K,,Police Officer Detective,B129D,North Pct Ops, Burg/Theft North,,,,,,
3323,3323,Carr,Richard,D,,Equipment & Facilities Coordinator,B119S,West Pct Ops, Stationmaster,,,,,,
3363,3363,Coddington,John,W,,Equipment & Facilities Coordinator,,Traffic Section - Stationmaster,,,,B630S,,,
3363,3363,Coddington,John,W,,Equipment & Facilities Coordinator,,Traffic Section - Stationmaster,,,B630S,,,,
3363,3363,Coddington,John,W,,Equipment & Facilities Coordinator,,Traffic Section - Stationmaster,,C630S,,,,,
3363,3363,Coddington,John,W,,Equipment & Facilities Coordinator,B630S,Traffic Section, Stationmaster,,,,,,
3363,3363,Coddington,John,W,,Equipment & Facilities Coordinator,,Traffic Section - Stationmaster,,,,,"Coddington, John W",B630S,W
3469,3469,Wallace,Hugh,P,Jr,Utility Laborer,C361R,Firearms Training,,,,,,,
3493,3493,Fann,Michael,E,,Police Captain,B610,Homeland Security Section,,,,,,,
3564,3564,Jellen,Paul,R,J,r Police Officer,,North Pct,3Rd W - Pct Support,B123P,,,,,
3564,3564,Jellen,Paul,R,Jr,Police Officer,B123P,North Pct 3Rd W    Pct Support,,,,,,,
3573,3573,Macomber,Stephen,M,,Police Officer Detective,,Burg/Theft/Juv - South Squad,,,B754S,,,,
3573,3573,Macomber,Stephen,M,,Police Officer Detective,,South Pct Ops - Burg/Theft,,B239D,,,,,
3573,3573,Macomber,Stephen,M,,Police Officer,B239J,South Pct Ops, Juvenile,,,,,,
3629,3629,Larsen,Bruce,N,,Police Officer Detective,B129D,North Pct Ops, Burg/Theft North,,,,,,
3645,3645,Vandebogart,James,,,Police Officer,B122J,North Pct 2Nd W, John,,,,,,
3697,3697,Hansen,James,W,,Police Sergeant,,Arson/Bomb - Squad B,,C613B,,,,,
3697,3697,Hansen,James,W,,Police Sergeant,B613B,Arson/Bomb, Squad B,,,,,,
3720,3720,Howland,Brian,A,,"Police Comm, Dispatcher lii",C312B,Comm, 2Nd W,,,,,,
3775,3775,Tate,Gloria,L,,"Parking Enfor Officer, Spvsr",B641A,Parking Enforcement, P1 Squad,,,,,,
3787,3787,Balcos,Evelyn,J,,oyce Parking Enfor Officer,,Parking Enforcement - P,8 Squad,,B637H,,,,
3787,3787,Balcos,Evelyn,J,,oyce Parking Enfor Officer,,Parking Enforcement - P,11 Squad,C637K,,,,,
3787,3787,Balcos,Evelyn,Joyce,,Parking Enfor Officer,i:YB641G,Parking Enforcement, P7 Squad,,,,,,
3811,3811,Murray,David,J,,Police Officer Detective,,Human Resources - Dept Unavail P,,C320X,,,,,
3811,3811,Murray,David,J,,Police Officer Detective,B712F,Fugitive/Felony Warrants,,,,,,,
3813,3813,Rivera,Eddie,W,,Police Sergeant,B112M,West Pct 2Nd W, Mary,,,,,,
3814,3814,Rusness,Roger,A,,Police Sergeant,,South Pct,3Rd W - R/S Relief,,B233T,,,,
3814,3814,Rusness,Roger,A,,Police Sergeant,,South Pct,3Rd W - T/Relief Squad,B233T,,,,,
3814,3814,Rusness,Roger,A,,Police Sergeant,B233Z,South Pct 3Rd W, Relief Sgts,,,,,,
3861,3861,Randall,Penny,L,,Admin Specialist Ii,,South Pct - Administration,,,B230Y,,,,
3861,3861,Randall,Penny,L,,Admin Specialist Ii,,South Pct - Administration,,B230Y,,,,,
3861,3861,Randall,Penny,L,,Adnnin Specialist li,B230Y,South Pct, Administration,,,,,,
3929,3929,Gonzales,Ellen,J,,Identification Data Specialist,B763C,Afis Admin Unit, Graveyard Shift,,,,,,
3946,3946,Spromberg,Linda,C,,Police Communications Analyst,,Comm - Admin And Operations Sup,,,C310A,,,,
3946,3946,Spromberg,Linda,C,,Police Communications Analyst,,Comm - Admin And Operations Sup,,C310A,,,,,
3946,3946,Spromberg,Linda,C,,Police Communications Analyst,C310A,,,,,,,,
3955,3955,Towne,Rolf,W,,Police Lieutenant,,Southwest Pct,1St W,,B251,,,,
3955,3955,Towne,Rolf,W,,Police Lieutenant,,South Pct,2Nd W,,,B232,,,
3955,3955,Towne,Rolf,W,,Police Lieutenant,,Southwest Pct,1St W,B251,,,,,
3955,3955,Towne,Rolf,W,,Police Lieutenant,B233,South Pct 3Rd W,,,,,,,
3955,3955,Towne,Rolf,W,,Police Lieutenant,,Hr - Department Unavailable Person~,,,,,"Towne, Rolf W",A810X,W
3969,3969,Macmillan,Terri,L,,Strategic Advisor 1,3210,Recruitment,,,,,,,
3982,3982,Ibuki,Fred,T,,Police Sergeant,,West Pct,2Nd W,,B1122,,,,
3982,3982,Ibuki,Fred,T,,Police Sergeant,,West Pct,2Nd W - Mary Beats,B112C,,,,,
3982,3982,Ibuki,Fred,T,,Police Sergeant,B112C,West Pct 2Nd W, Mary Beats,,,,,,
3995,3995,Wind,Bruce,A,,Police Officer,B252F,Southwest Pct 2Nd W, Frank,,,,,,
4002,4002,Duty,David,W,,Police Officer Detective,B711B,Homicide Squad B,,,,,,,
4008,4008,Fogassy,Karoly,C,Jr,Police Sergeant,B251 F,Southwest Pct 1St W, Frank,,,,,,
4031,4031,Fenkner,Christine,L,,Police Officer Detective,B752B,Auto Theft,,,,,,,
4032,4032,West,Donna,L,,Latent Print Supervisor,,Latent,,B761L,,,,,
4032,4032,West,Donna,L,,Latent Print Supervisor,B761L,Latent,,,,,,,
4047,4047,Palacol,Juan,T,,Police Officer,,Hr - Department Unavailable Person,,,,A810X,,,
4047,4047,Palacol,Juan,T,,Police Officer,,North Pct,1St W - L/U Relief,,B121T,,,,
4047,4047,Palacol,Juan,T,,Police Officer,,North Pct,1St W - Pct Support,B121P,,,,,
4047,4047,Palacol,Juan,T,,Police Officer,B121P,North Pct 1St W    Pct Support,,,,,,,
4061,4061,Newsom,Dianne,J,,Police Sergeant,,North Pct Ops - Cpt,,,,B129C,,,
4061,4061,Newsom,Dianne,J,,Police Sergeant,,North Pct Ops - Cpt,,,B129C,,,,
4061,4061,Newsom,Dianne,J,,Police Sergeant,,North Pct Ops - Cpt,,B129C,,,,,
4061,4061,Newsom,Dianne,J,,Police Sergeant,B129C,North Pet Ops    Cpt,,,,,,,
4069,4069,Wilson,Ronald,J,,Police Captain,,Human Resources - Dept Unavail P,,C320X,,,,,
4069,4069,Wilson,Ronald,J,,Police Captain,B050,Community Outreach Section,,,,,,,
4086,4086,Ma,Ernest,Y,,Admin Specialist Ii,,Records - Day Shift,,,,C511A,,,
4086,4086,Ma,Ernest,Y,,Admin Specialist Ii,,Records - Day Shift,,,C511A,,,,
4086,4086,Ma,Ernest,Y,,Admin Specialist Ii,,Records - Day Shift,,C511A,,,,,
4086,4086,Ma,Ernest,Y,,Admin Specialist Ii,C511A,Records, Day Shift,,,,,,
4086,4086,Ma,Ernest,Y,,Admin Specialist Ii,,Records - Day Shift,,,,,"Ma, Ernest Y",C511A,Y
4097,4097,King,Deborah,L,,Police Lieutenant,,Domestic Violence Unit,,B721,,,,,
4097,4097,King,Deborah,L,,Police Lieutenant    B721.,Domestic Violence Unit,,,,,,,,
4133,4133,Mitchell,Denise,M,,"Police Data Technician, Sr",,Human Resources - Dept Unavail P,,C320X,,,,,
4133,4133,Mitchell,Denise,M,,"Police Data Technician, Sr",C521B,Data Center, Swing Shift,,,,,,
4138,4138,Frazier,Betty,J,,Admin Specialist li,C506A,Public Requests,Day Shift,,,,,,
4147,4147,Veetutu,Viliami,N,,Maintenance Laborer,C361R,Firearms Training,,,,,,,
4149,4149,Boone,Kathleen,J,,Parking Enfor Officer,,Parking Enforcement - P,4 Squad,,B637D,,,,
4149,4149,Boone,Kathleen,J,,Parking Enfor Officer,,Parking Enforcement - P,3 Squad,,,B637C,,,
4149,4149,Boone,Kathleen,J,,Parking Enfor Officer,,Parking Enforcement - P,10 Squad,C637J,,,,,
4149,4149,Boone,Kathleen,J,,Parking Enfor Officer,B641D,Parking Enforcement, P4 Squad,,,,,,
4149,4149,Boone,Kathleen,J,,Parking Enfor Officer,,Parking Enforcement - P3 Squad,,,,,"Boone, Kathleen J",B637C,J
4161,4161,Monzon,Philip,R,,Police Sergeant,,West Pct,1St W - K/Q (Early),,,B111K,,,
4161,4161,Monzon,Philip,R,,Police Officer,,West Pct,2Nd W - K/Q Relief,,B112T,,,,
4161,4161,Monzon,Philip,R,,Police Officer,,West Pct,2Nd W - T/Relief Squad,B112T,,,,,
4161,4161,Monzon,Philip,R,,Police Officer,6112Q,West Pct 2Nd W, Queen,,,,,,
4161,4161,Monzon,Philip,R,,Police Sergeant,,West Pct 1St W - K/Q (Early),,,,,"Monzon, Philip R",B111K,R
4165,4165,Gleason,Thomas,A,,Police Captain,,Hr - Human Resources - Dept Unava,,,C020X,,,,
4165,4165,Gleason,Thomas,A,,Assistant Chief Of Police,,Compliance And Professional Stand,,A500,,,,,
4165,4165,Gleason,Thomas,A,,Police Captain,Al 20.,Ethics & Prof. Responsibility,,,,,,,
4167,4167,Belshay,Richard,L,,Police Captain,B630,Traffic Section,,,,,,,
